Adapter,Test,F1
arabic,arabic,0.12836538681400825
arabic,bengali,0.347024220667429
arabic,chinese,0.19620017322295408
arabic,english,0.332473887393375
arabic,german,0.44693968962596964
arabic,greek,0.3791615975464373
arabic,korean,0.5483364808607324
arabic,portuguese,0.3275770695403078
arabic,spanish,0.2982322268872183
arabic,turkish,0.40806944483862556
bengali,arabic,0.1628202961035349
bengali,bengali,0.31320004579083033
bengali,chinese,0.20573266583294492
bengali,english,0.30738013411103243
bengali,german,0.3648814940699724
bengali,greek,0.35927598971077235
bengali,korean,0.5246048794144299
bengali,portuguese,0.32407838275254286
bengali,spanish,0.2579153769364369
bengali,turkish,0.39536097221605465
chinese,arabic,0.4893472876113651
chinese,bengali,0.504563342317876
chinese,chinese,0.2929880172699764
chinese,english,0.3468169676213297
chinese,german,0.43310511947596053
chinese,greek,0.30358137355412507
chinese,korean,0.49037438436771313
chinese,portuguese,0.5068025404472609
chinese,spanish,0.5176494834505042
chinese,turkish,0.5105393373893709
english,arabic,0.4334418517113819
english,bengali,0.4280834282260267
english,chinese,0.22976264510779437
english,english,0.3559207572295655
english,german,0.6433258613134695
english,greek,0.3882849375300341
english,korean,0.6078141069020365
english,portuguese,0.4092156244901567
english,spanish,0.3224302492621991
english,turkish,0.6041447986884182
german,arabic,0.1995362300417716
german,bengali,0.2709361663004885
german,chinese,0.20988032592247158
german,english,0.311869675721423
german,german,0.32328239394694225
german,greek,0.3601656106305895
german,korean,0.43605869154844284
german,portuguese,0.2206339064077516
german,spanish,0.2082911682910843
german,turkish,0.3493955173038591
greek,arabic,0.419626150637698
greek,bengali,0.5613214875019525
greek,chinese,0.21615536222179754
greek,english,0.4226837818635379
greek,german,0.6422961775942623
greek,greek,0.39193651719845446
greek,korean,0.5935379197884291
greek,portuguese,0.6086097012901015
greek,spanish,0.4767473275783521
greek,turkish,0.6374166259532882
korean,arabic,0.2880567982493239
korean,bengali,0.4722402271922714
korean,chinese,0.2075648902196756
korean,english,0.2966074755877256
korean,german,0.5852024448753453
korean,greek,0.4329658534529731
korean,korean,0.6489986964168194
korean,portuguese,0.36542844187297996
korean,spanish,0.3349704565573185
korean,turkish,0.6513645880607034
portuguese,arabic,0.2735531867647439
portuguese,bengali,0.382157621165734
portuguese,chinese,0.22389557703959326
portuguese,english,0.39092506761832463
portuguese,german,0.5360183226143682
portuguese,greek,0.3694765356413142
portuguese,korean,0.6168700795922465
portuguese,portuguese,0.48129562344058163
portuguese,spanish,0.37703076063906643
portuguese,turkish,0.6095990758588362
spanish,arabic,0.4427271607529231
spanish,bengali,0.5042195416369443
spanish,chinese,0.3261805601913962
spanish,english,0.4045996133610666
spanish,german,0.572760558916246
spanish,greek,0.3168927113765799
spanish,korean,0.48835379701464615
spanish,portuguese,0.5562472850026253
spanish,spanish,0.4832988425189652
spanish,turkish,0.5486774487841564
turkish,arabic,0.11111764665148742
turkish,bengali,0.26073202128751044
turkish,chinese,0.19834300431315355
turkish,english,0.27042011406198585
turkish,german,0.3901791459683594
turkish,greek,0.3601656106305895
turkish,korean,0.4262531287457234
turkish,portuguese,0.189774144204009
turkish,spanish,0.21270902491276614
turkish,turkish,0.3709610620305672
