Adapter,arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish
arabic,12.836538681400825,34.7024220667429,19.620017322295407,33.2473887393375,44.69396896259696,37.91615975464373,54.83364808607324,32.75770695403078,29.823222688721827,40.80694448386256
bengali,16.28202961035349,31.320004579083033,20.57326658329449,30.738013411103243,36.48814940699724,35.92759897107724,52.46048794144299,32.407838275254285,25.79153769364369,39.536097221605466
chinese,48.93472876113651,50.4563342317876,29.29880172699764,34.681696762132965,43.310511947596055,30.358137355412506,49.03743843677131,50.68025404472609,51.76494834505042,51.05393373893708
english,43.344185171138186,42.80834282260267,22.976264510779437,35.59207572295655,64.33258613134694,38.828493753003414,60.78141069020365,40.92156244901567,32.24302492621991,60.414479868841816
german,19.95362300417716,27.09361663004885,20.98803259224716,31.1869675721423,32.32823939469422,36.01656106305895,43.605869154844285,22.06339064077516,20.82911682910843,34.93955173038591
greek,41.962615063769796,56.132148750195256,21.615536222179756,42.268378186353786,64.22961775942623,39.19365171984545,59.35379197884291,60.86097012901015,47.67473275783521,63.74166259532882
korean,28.80567982493239,47.224022719227136,20.75648902196756,29.66074755877256,58.520244487534534,43.29658534529731,64.89986964168195,36.542844187297995,33.49704565573185,65.13645880607034
portuguese,27.35531867647439,38.2157621165734,22.389557703959326,39.09250676183246,53.60183226143682,36.94765356413142,61.68700795922465,48.129562344058165,37.70307606390664,60.95990758588362
spanish,44.272716075292315,50.42195416369443,32.618056019139615,40.45996133610666,57.2760558916246,31.689271137657993,48.83537970146462,55.624728500262535,48.32988425189652,54.867744878415635
turkish,11.111764665148742,26.073202128751046,19.834300431315356,27.042011406198586,39.017914596835936,36.01656106305895,42.625312874572344,18.9774144204009,21.270902491276615,37.09610620305672
