Adapter,arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish
arabic,0.26231960422340134,0.6182272162995041,0.6015078676295968,0.7865782924709261,0.6947329751573473,0.8757309485784199,0.8448961205748914,0.5382383304865593,0.5761277397579673,0.6264839266954376
bengali,0.33272953631418756,0.5579691010665985,0.6307324560121705,0.7272106177243137,0.5671798943773205,0.8298021353081032,0.8083296350375139,0.5324896761677922,0.49824328079542624,0.6069733901149832
chinese,1.0,0.8988847809182093,0.8982387457365852,0.8205116507954838,0.6732282122029043,0.7011670115160682,0.7555860852650621,0.832721758087269,1.0,0.7837996519113679
english,0.8857550919044169,0.7626350278004236,0.7044032451626617,0.8420497130511466,1.0,0.8968026795494347,0.9365413370748403,0.6723777547790006,0.6228737003907949,0.9275063608955595
german,0.4077599592219286,0.4826755653097033,0.6434482968553309,0.7378321314966118,0.5025173296887228,0.8318568491214958,0.6718945568858032,0.36252117891000174,0.4023787812994125,0.5364054535787836
greek,0.8575221754799242,1.0,0.6626862192368607,1.0,0.9983994367689419,0.9052365540439206,0.9145440862445574,1.0,0.9209848417127552,0.9785865514289896
korean,0.5886551443973586,0.8413008190616054,0.6363496650379187,0.701724287314824,0.9096516712083448,1.0,1.0,0.6004315098795868,0.6470989873775218,1.0
portuguese,0.5590164565947225,0.6808177304354569,0.6864160663290781,0.924864128675118,0.8331987797288097,0.8533618360308989,0.9504950980611241,0.7908116193684629,0.7283514669538287,0.9358799772548045
spanish,0.9047299779957763,0.8982722964710849,1.0,0.9572158448503953,0.8903117274764126,0.7319115557250278,0.7524726932594652,0.9139638816527558,0.9336411181122651,0.8423507492443277
turkish,0.22707318394239467,0.4644967760771914,0.6080773305336464,0.6397693161297827,0.6065031260701008,0.8318568491214958,0.656785801110396,0.3118158382979025,0.41091323707097765,0.5695137083442365
