Adapter,arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish
arabic,13.72909842988814,30.684859023401017,19.727336725217338,30.50249264031225,35.69533008922046,36.02921879100691,38.62884813821461,25.75967061651302,21.69328157020522,28.141147270146373
bengali,23.185367636476816,54.78971140608745,21.039886815839846,45.456767440542656,43.37546786448112,49.1585157002872,55.30536649281835,42.15328640355776,39.291576070519,34.97721681054616
chinese,39.97550763633895,45.190821140112696,22.97524785559832,44.17555508083464,58.43753659472316,32.22036611776646,50.16190038127787,39.21689195025403,38.59717332880424,46.86341760380413
english,35.90139455792251,35.24063395750183,20.42326812147784,36.4324292020177,35.999172169434054,21.4384204507437,36.99460162539373,33.20995495961069,30.89748078016691,37.87541753850932
german,11.219059754632633,32.513239326954526,19.834300431315356,36.4421348746717,47.13573746891179,36.24480497630184,38.33869320893266,37.27908318399788,30.361624732238575,22.939329113572864
greek,36.5292639494663,50.24319190446719,33.923043452642645,44.998467762508646,51.15202816693477,36.81650388872967,46.33091869379306,50.60311869647593,44.39306411423637,52.268678367078515
korean,36.42771663747724,42.833903387421984,27.648747769209407,30.27878110619812,48.500454649842226,27.46740839638036,40.3881932634907,33.96876447524237,31.15589471370324,50.353578898625564
portuguese,37.153955604522274,48.58619938891673,29.21361734374485,42.24806236352911,50.33748152857752,47.79024002349462,51.07162755685072,52.82650088063517,48.20478768340956,55.90775544837373
spanish,40.76053263038004,40.28443384265745,27.956583251178824,39.465152774659465,49.93200361709547,37.310702337485544,46.06535590013596,33.14064408504299,37.543380984970206,48.45418503114508
turkish,39.51398436884063,33.34877397320908,29.01903523222088,41.12549035834389,44.88325453875002,21.59262125959899,39.588421668376235,27.948049766703402,26.500880527885702,39.46721825419218
