Adapter,arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish
arabic,0.33682333237361656,0.5600478308048134,0.5815320418628463,0.6710220360523752,0.6108287954842317,0.7329191754013114,0.698464734760066,0.4876278039826758,0.4500233817578104,0.5033496166043088
bengali,0.5688190546164764,1.0,0.6202240328233526,1.0,0.7422535307280196,1.0,1.0,0.7979571938487044,0.8150969635748819,0.6256236997896433
chinese,0.980740560945075,0.8248048763237643,0.677275548335523,0.9718147058876583,1.0,0.6554381404477235,0.9069987880433197,0.7423715615551952,0.8006916985569063,0.8382274914806532
english,0.8807881605345885,0.6431980211815168,0.6020470465743794,0.8014742634233997,0.6160282288949999,0.43610796919603595,0.6689152241708342,0.6286608881146736,0.6409629056576213,0.6774626746281057
german,0.2752432078444121,0.5934187002003832,0.5846851700969725,0.8016877777844175,0.806600349973823,0.7373047062137007,0.6932183193092322,0.705689049294261,0.6298466644359478,0.41030674420037255
greek,0.8961920169374811,0.9170187360922089,1.0,0.9899178999335255,0.8753282760990602,0.7489344087033649,0.8377291686478443,0.9579116135444383,0.9209264524883477,0.9349092616559146
korean,0.893700702289807,0.781787351825016,0.8150432554145002,0.6661006228787099,0.8299537844348791,0.5587517850181934,0.7302762068982092,0.6430250709203121,0.6463236581047329,0.900654631809052
portuguese,0.9115179122274355,0.8867759683712904,0.8611732430354528,0.9294119389107348,0.8613895188238125,0.9721660498226844,0.9234479544310153,1.0,1.0,1.0
spanish,1.0,0.7352554486750157,0.8241177797094433,0.8681909206649987,0.8544508637211149,0.7589875692131113,0.8329274141256754,0.6273488406874871,0.7788309582761911,0.866680921860449
turkish,0.9694177631866783,0.6086685459252819,0.8554372567641852,0.9047165619978572,0.7680552116702832,0.43924477686117036,0.7158151944172898,0.5290535867566506,0.5497561923088067,0.7059345870294678
