Adapter,Test,F1
arabic,arabic,0.1082859404155027
arabic,bengali,0.30153832448183965
arabic,chinese,0.19620017322295408
arabic,english,0.3036924986139173
arabic,german,0.24750909250766062
arabic,greek,0.3602921879100691
arabic,korean,0.26512421195333796
arabic,portuguese,0.1872001093904163
arabic,spanish,0.26258760318022606
arabic,turkish,0.21787204872968702
bengali,arabic,0.27056129017897285
bengali,bengali,0.47757502508628397
bengali,chinese,0.2440600307287094
bengali,english,0.3854111065643857
bengali,german,0.39780335973421116
bengali,greek,0.3172364490813163
bengali,korean,0.5123039249989251
bengali,portuguese,0.4897949039978606
bengali,spanish,0.4880356800180124
bengali,turkish,0.49129750615480255
chinese,arabic,0.1869595573623103
chinese,bengali,0.5078263271297874
chinese,chinese,0.19620017322295408
chinese,english,0.35746214652569686
chinese,german,0.47538966396693494
chinese,greek,0.3590144960534305
chinese,korean,0.46263349238603246
chinese,portuguese,0.32863443686707317
chinese,spanish,0.34753096564853037
chinese,turkish,0.3548506645546439
english,arabic,0.42420309190681654
english,bengali,0.40219270836210635
english,chinese,0.2538132316798234
english,english,0.37075472632780637
english,german,0.4752168590978526
english,greek,0.34337598538709946
english,korean,0.48224447180463215
english,portuguese,0.3264513551799886
english,spanish,0.40537751647430603
english,turkish,0.5456474528405624
german,arabic,0.31671526842451875
german,bengali,0.3816448625868933
german,chinese,0.22127224594894884
german,english,0.31555035572592394
german,german,0.2818749950835847
german,greek,0.32044082333791213
german,korean,0.44910481267483054
german,portuguese,0.31571378079699103
german,spanish,0.28437376698164407
german,turkish,0.39437372585441477
greek,arabic,0.2905575282604153
greek,bengali,0.47269111688688414
greek,chinese,0.3104262981476266
greek,english,0.39794479776866015
greek,german,0.37979422907921806
greek,greek,0.3517031560622206
greek,korean,0.518170133526549
greek,portuguese,0.5041255214260414
greek,spanish,0.4963496522232056
greek,turkish,0.4095199693008976
korean,arabic,0.17900705610537845
korean,bengali,0.38536751826335713
korean,chinese,0.21420668741364973
korean,english,0.28862933146865927
korean,german,0.4183395814586528
korean,greek,0.39047964808515145
korean,korean,0.44624371738702
korean,portuguese,0.29051812278597955
korean,spanish,0.2900542646644868
korean,turkish,0.3649256879439159
portuguese,arabic,0.22297914627798077
portuguese,bengali,0.4905491544834821
portuguese,chinese,0.19574425171440096
portuguese,english,0.36733884461481175
portuguese,german,0.34455507173091965
portuguese,greek,0.3716965439172967
portuguese,korean,0.4678350627742612
portuguese,portuguese,0.5200723843309805
portuguese,spanish,0.4418946738453963
portuguese,turkish,0.36483318618571176
spanish,arabic,0.29372711559740844
spanish,bengali,0.35501065767760026
spanish,chinese,0.262860164418549
spanish,english,0.22529375134285556
spanish,german,0.3016149042105879
spanish,greek,0.3564930522340669
spanish,korean,0.5127387713401265
spanish,portuguese,0.2357666148542399
spanish,spanish,0.2996984147367266
spanish,turkish,0.4597356479685986
turkish,arabic,0.335403274575236
turkish,bengali,0.38458037913617327
turkish,chinese,0.26374829708115644
turkish,english,0.29112713660689715
turkish,german,0.4071901089226954
turkish,greek,0.34723903500500586
turkish,korean,0.42109579203425224
turkish,portuguese,0.2909571972436559
turkish,spanish,0.2697252450643925
turkish,turkish,0.3760023352117142
