Adapter,arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish
arabic,10.82859404155027,30.153832448183966,19.620017322295407,30.36924986139173,24.750909250766064,36.02921879100691,26.512421195333797,18.720010939041632,26.258760318022606,21.7872048729687
bengali,27.056129017897284,47.7575025086284,24.40600307287094,38.54111065643857,39.78033597342112,31.723644908131632,51.23039249989251,48.97949039978606,48.80356800180124,49.129750615480255
chinese,18.695955736231028,50.78263271297874,19.620017322295407,35.746214652569684,47.538966396693496,35.901449605343046,46.26334923860325,32.86344368670731,34.75309656485304,35.48506645546439
english,42.42030919068166,40.21927083621063,25.381323167982337,37.07547263278064,47.52168590978526,34.33759853870995,48.224447180463216,32.64513551799886,40.5377516474306,54.56474528405624
german,31.671526842451875,38.16448625868933,22.127224594894884,31.555035572592395,28.18749950835847,32.04408233379121,44.91048126748306,31.5713780796991,28.437376698164407,39.43737258544148
greek,29.05575282604153,47.26911168868841,31.042629814762662,39.79447977686601,37.97942290792181,35.17031560622206,51.8170133526549,50.41255214260414,49.63496522232056,40.95199693008976
korean,17.900705610537845,38.53675182633572,21.420668741364974,28.862933146865927,41.83395814586528,39.04796480851515,44.624371738702,29.051812278597954,29.005426466448682,36.49256879439159
portuguese,22.297914627798075,49.054915448348204,19.574425171440097,36.733884461481175,34.455507173091966,37.169654391729665,46.78350627742612,52.007238433098046,44.18946738453963,36.483318618571175
spanish,29.372711559740843,35.501065767760025,26.286016441854898,22.529375134285555,30.16149042105879,35.64930522340669,51.27387713401264,23.57666148542399,29.96984147367266,45.97356479685986
turkish,33.5403274575236,38.458037913617325,26.374829708115644,29.112713660689714,40.719010892269544,34.72390350050058,42.10957920342523,29.095719724365587,26.97252450643925,37.600233521171425
