Adapter,arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish
arabic,0.25526909747109894,0.5937823786846999,0.6320346387974157,0.7631523274503638,0.520644665351571,0.9226913353279314,0.5116547535246048,0.3599501050824492,0.5290375484380151,0.3992908747131071
bengali,0.637810745232395,0.9404298272315214,0.786209261860424,0.9685039450834567,0.8367942971555221,0.812427614696418,0.9886789914198648,0.941782180240028,0.9832497672397794,0.9003936582076544
chinese,0.4407312462573449,1.0,0.6320346387974157,0.8982706861103451,1.0,0.9194192266203348,0.8928216090677658,0.6319013405986312,0.7001736862147486,0.6503295538306689
english,1.0,0.791988691557766,0.8176279947748489,0.9316737607997069,0.9996364984723471,0.8793697368632637,0.9306682122386815,0.6277036909005169,0.8167176397899643,1.0
german,0.7466123525900434,0.7515263431573815,0.7128012261503708,0.7929500712040088,0.5929346312064331,0.8206338663469445,0.8667130419469077,0.6070573833739015,0.5729303238309973,0.7227628825194029
greek,0.684949105284318,0.9308125467982608,1.0,1.0,0.7989114149222103,0.9006952290264436,1.0,0.9693372242299444,1.0,0.7505211784074046
korean,0.42198432665997726,0.7588569116560732,0.690040401511928,0.7252999237257276,0.8799930102976531,1.0,0.861191505481001,0.5586109386671264,0.5843748723612504,0.6687938998783282
portuguese,0.5256424352676852,0.9659781863930624,0.630565943937239,0.923089952864164,0.7247845248795411,0.9518973542924347,0.9028599537188324,1.0,0.8902890771981015,0.6686243732769988
spanish,0.6924209681666597,0.6990788754181085,0.8467715718258604,0.5661432254074271,0.6344582709134506,0.9129619276760024,0.9895181874928647,0.45333423184453325,0.6038050261430503,0.8425507084753732
turkish,0.7906667371696411,0.7573068952722578,0.8496325815660375,0.7315766866140565,0.856539676367505,0.8892628251121651,0.8126593270985523,0.5594551951031631,0.5434178181776959,0.6890939071634992
