Adapter,Test,F1
arabic,arabic,0.3452636802908761
arabic,bengali,0.4703951795885927
arabic,chinese,0.21192667023053763
arabic,english,0.35331621059106216
arabic,german,0.5433313897168346
arabic,greek,0.35786830117715307
arabic,korean,0.5371374519025023
arabic,portuguese,0.407790615238223
arabic,spanish,0.3815599326879497
arabic,turkish,0.4465137870471267
bengali,arabic,0.4148945677887365
bengali,bengali,0.5862508533205165
bengali,chinese,0.2397201009708761
bengali,english,0.39319934193705497
bengali,german,0.6170788896266695
bengali,greek,0.3624932360386682
bengali,korean,0.5646855317305565
bengali,portuguese,0.5529086354669683
bengali,spanish,0.46875715286465325
bengali,turkish,0.5763203345607668
chinese,arabic,0.303839890413989
chinese,bengali,0.5236517067602998
chinese,chinese,0.21982919156514213
chinese,english,0.3177157011389398
chinese,german,0.5758409859036739
chinese,greek,0.36532044340969955
chinese,korean,0.5406218210859316
chinese,portuguese,0.46879525831524277
chinese,spanish,0.4037564970303613
chinese,turkish,0.5509043750882859
english,arabic,0.4217671035069042
english,bengali,0.46920988689090587
english,chinese,0.2494635854240212
english,english,0.3490925214767991
english,german,0.61260751582563
english,greek,0.3611844520279084
english,korean,0.5311122924502741
english,portuguese,0.4249157979214305
english,spanish,0.3443838616730362
english,turkish,0.5279050649309001
german,arabic,0.40309526957182246
german,bengali,0.5706261812755624
german,chinese,0.24065248516137822
german,english,0.4177744654227149
german,german,0.5415370166180885
german,greek,0.39123406522613113
german,korean,0.6054294233978903
german,portuguese,0.553721933124422
german,spanish,0.45628826984039805
german,turkish,0.5766234127164106
greek,arabic,0.41897984368359786
greek,bengali,0.578374041388614
greek,chinese,0.23216117642124773
greek,english,0.4486832193114849
greek,german,0.5905556479323109
greek,greek,0.36547664628774634
greek,korean,0.5986016759767463
greek,portuguese,0.5831129816749521
greek,spanish,0.517377751050311
greek,turkish,0.5538692764154398
korean,arabic,0.4821524860572728
korean,bengali,0.39245032313433414
korean,chinese,0.2448299208968594
korean,english,0.32536818154133
korean,german,0.5387827117806891
korean,greek,0.4157442045088682
korean,korean,0.4833115095201235
korean,portuguese,0.46210925336917497
korean,spanish,0.4204433142429094
korean,turkish,0.5149802300958585
portuguese,arabic,0.3824954975602927
portuguese,bengali,0.5673105969384084
portuguese,chinese,0.23282497701936683
portuguese,english,0.41199632925403
portuguese,german,0.5533035209065695
portuguese,greek,0.3476403971187305
portuguese,korean,0.5629578039524902
portuguese,portuguese,0.5629213949729179
portuguese,spanish,0.5137173203341123
portuguese,turkish,0.5388346298536025
spanish,arabic,0.4387275328963254
spanish,bengali,0.5010565377827445
spanish,chinese,0.2442944648765502
spanish,english,0.3256054165351503
spanish,german,0.6302191590107488
spanish,greek,0.3775102542268691
spanish,korean,0.545576268176892
spanish,portuguese,0.48404232710832007
spanish,spanish,0.40151823632807565
spanish,turkish,0.5643680215823322
turkish,arabic,0.37560751373898277
turkish,bengali,0.5721906038635539
turkish,chinese,0.22870974315740106
turkish,english,0.39819220031413494
turkish,german,0.5836725627860824
turkish,greek,0.36846235085947665
turkish,korean,0.6082104103437382
turkish,portuguese,0.5410034920728377
turkish,spanish,0.5047393635769473
turkish,turkish,0.5578903421512267
