Adapter,arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish
arabic,34.526368029087614,47.03951795885927,21.19266702305376,35.33162105910622,54.33313897168346,35.786830117715304,53.71374519025023,40.7790615238223,38.155993268794965,44.65137870471267
bengali,41.48945677887365,58.625085332051654,23.972010097087608,39.3199341937055,61.70788896266694,36.24932360386682,56.468553173055646,55.29086354669683,46.87571528646532,57.632033456076684
chinese,30.3839890413989,52.36517067602998,21.982919156514214,31.771570113893983,57.5840985903674,36.532044340969954,54.06218210859316,46.879525831524276,40.37564970303613,55.09043750882859
english,42.17671035069042,46.920988689090585,24.94635854240212,34.90925214767991,61.260751582563,36.11844520279084,53.11122924502742,42.49157979214305,34.43838616730362,52.79050649309001
german,40.30952695718224,57.06261812755624,24.06524851613782,41.77744654227149,54.15370166180885,39.12340652261312,60.54294233978903,55.3721933124422,45.628826984039804,57.66234127164106
greek,41.897984368359786,57.8374041388614,23.21611764212477,44.86832193114849,59.055564793231085,36.54766462877463,59.86016759767463,58.31129816749521,51.737775105031105,55.386927641543984
korean,48.21524860572728,39.24503231343341,24.48299208968594,32.536818154133,53.878271178068914,41.57442045088682,48.33115095201235,46.2109253369175,42.044331424290945,51.49802300958585
portuguese,38.249549756029275,56.731059693840834,23.282497701936684,41.199632925403,55.33035209065695,34.76403971187305,56.29578039524902,56.29213949729179,51.371732033411234,53.883462985360254
spanish,43.87275328963254,50.10565377827445,24.42944648765502,32.56054165351503,63.02191590107488,37.751025422686915,54.5576268176892,48.404232710832005,40.15182363280756,56.43680215823322
turkish,37.56075137389828,57.219060386355395,22.870974315740106,39.819220031413494,58.36725627860824,36.84623508594767,60.82104103437382,54.10034920728377,50.473936357694726,55.78903421512267
