Adapter,arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish
arabic,0.7160881469557823,0.8023786693431337,0.84952948090728,0.7874513585180081,0.8621308666174139,0.860789632894376,0.8831441270446718,0.6993337964572018,0.7374880962959033,0.7743594470846206
bengali,0.860504881311455,1.0,0.9609422576181458,0.8763406452784857,0.979149682779074,0.8719141051332103,0.9284377941038808,0.9482015541461213,0.9060249535528831,0.9994743915197338
chinese,0.6301738541236044,0.8932212273881461,0.8812075365287942,0.708106939293344,0.9137154554418309,0.8787144581877314,0.8888730148180003,0.8039527039316815,0.7803901428128847,0.9553971672656074
english,0.8747587448025816,0.8003568510532781,1.0,0.7780378370568212,0.9720547321779877,0.8687660540081058,0.8732377536091647,0.7287023463289892,0.6656333036623902,0.9155109787235248
german,0.8360327515223896,0.9733481461793084,0.9646798138988242,0.9311123024921676,0.8592836458163791,0.9410451450268762,0.9954275906848155,0.9495963055631066,0.881924800426966,1.0
greek,0.8689778769155388,0.9865640930204393,0.930641544442793,1.0,0.9370639395655672,0.8790901769021543,0.9842016279176127,1.0,1.0,0.9605390003264375
korean,1.0,0.6694238838399996,0.9814254873340098,0.7251623585134636,0.8549132537106824,1.0,0.7946452433245488,0.7924866499143919,0.8126428192735032,0.8930962890837926
portuguese,0.7933081517179147,0.9676925734524208,0.9333024562427691,0.9182343165992438,0.8779541418180411,0.8361881978112218,0.925597119645366,0.9653727710811115,0.9929250326115342,0.9344654031913321
spanish,0.9099352291718991,0.8546794174281664,0.9792790577483087,0.7256910945651134,1.0,0.9080349169817868,0.8970189574173061,0.8301004133331789,0.7760639793902367,0.9787462824717009
turkish,0.779022248356438,0.9760166669654713,0.9168061253054463,0.8874684480626897,0.9261422069463419,0.8862717672631251,1.0,0.9277850246428098,0.9755722246507372,0.9675124697470495
