Adapter Culture,Test Culture,F1 Score
arabic,arabic,0.1327097560595989
arabic,bengali,0.403923965485881
arabic,chinese,0.19618371556849895
arabic,english,0.3529897944675879
arabic,german,0.2635393076108412
arabic,greek,0.3601656106305895
arabic,korean,0.315409294799782
arabic,portuguese,0.40368513428906533
arabic,spanish,0.38204862706463216
arabic,turkish,0.22567818631312542
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",arabic,0.23029005614636688
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",bengali,0.34975703755061227
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",chinese,0.19597236639221177
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",english,0.22247749634175365
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",german,0.28401377636011194
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",greek,0.3603107381570548
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",korean,0.4874231351453422
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",portuguese,0.18614739188737228
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",spanish,0.22515606192959653
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",turkish,0.32243448484808407
bengali,arabic,0.39099428958085997
bengali,bengali,0.4625960752864648
bengali,chinese,0.2673064585216827
bengali,english,0.3540727840319546
bengali,german,0.37790798595057373
bengali,greek,0.37346735926258584
bengali,korean,0.4868044535314084
bengali,portuguese,0.4177179653037766
bengali,spanish,0.4742579413855807
bengali,turkish,0.47729299969334643
chinese,arabic,0.33190546683852834
chinese,bengali,0.4480433009765796
chinese,chinese,0.27383202279656454
chinese,english,0.29496857293192175
chinese,german,0.4114643385248186
chinese,greek,0.34099821643255923
chinese,korean,0.42024679207901183
chinese,portuguese,0.31400262786099464
chinese,spanish,0.36401750540542216
chinese,turkish,0.4248216228281766
english,arabic,0.19852785475345094
english,bengali,0.37759707698190653
english,chinese,0.28424698316926006
english,english,0.23555419185891016
english,german,0.32904088455347663
english,greek,0.35587308566336273
english,korean,0.45115080906010263
english,portuguese,0.2770292345584861
english,spanish,0.2711698653352452
english,turkish,0.43157978167444405
german,arabic,0.13822554395481515
german,bengali,0.4445775151454341
german,chinese,0.20652810701139562
german,english,0.318840668770279
german,german,0.2818749782880041
german,greek,0.3476485311307157
german,korean,0.37680528918070877
german,portuguese,0.34289319905011306
german,spanish,0.2892792054096068
german,turkish,0.3217278180674933
greek,arabic,0.2863634243808154
greek,bengali,0.36672292880809226
greek,chinese,0.20804763172987834
greek,english,0.2762154625453422
greek,german,0.41367511969219734
greek,greek,0.2826269514225111
greek,korean,0.40175580362961477
greek,portuguese,0.2106391697361764
greek,spanish,0.2767405692583563
greek,turkish,0.4736689489203537
korean,arabic,0.2495380188863189
korean,bengali,0.29556901008719066
korean,chinese,0.24775548858057667
korean,english,0.23553152330294994
korean,german,0.34650011185121443
korean,greek,0.2963530794926402
korean,korean,0.4317190431297571
korean,portuguese,0.2118645290064558
korean,spanish,0.2700283704479163
korean,turkish,0.4114490194649517
portuguese,arabic,0.14547821852888673
portuguese,bengali,0.3773226930866495
portuguese,chinese,0.20305384761059275
portuguese,english,0.2891098601015445
portuguese,german,0.2866033815677666
portuguese,greek,0.3592717805158683
portuguese,korean,0.47017819743904554
portuguese,portuguese,0.25591027856793286
portuguese,spanish,0.3220696578506785
portuguese,turkish,0.36605757956270146
spanish,arabic,0.3129792091917542
spanish,bengali,0.4897233165710125
spanish,chinese,0.3356164250162467
spanish,english,0.3491457621274397
spanish,german,0.3364100515744332
spanish,greek,0.37051259844505313
spanish,korean,0.44056280951723176
spanish,portuguese,0.4039146364966705
spanish,spanish,0.3998174377036627
spanish,turkish,0.4363385853496475
turkish,arabic,0.4082035736999055
turkish,bengali,0.4677674242251615
turkish,chinese,0.2173618514570007
turkish,english,0.3147749801576532
turkish,german,0.3313162018197268
turkish,greek,0.42792682759272027
turkish,korean,0.43006511587767116
turkish,portuguese,0.3725550824698474
turkish,spanish,0.3634159047826497
turkish,turkish,0.44470554678022467
