Adapter Culture,arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish
arabic,13.27097560595989,40.3923965485881,19.618371556849894,35.298979446758786,26.353930761084122,36.01656106305895,31.540929479978203,40.36851342890653,38.20486270646322,22.56781863131254
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",23.029005614636688,34.975703755061225,19.597236639221176,22.247749634175364,28.401377636011194,36.031073815705476,48.74231351453422,18.61473918873723,22.515606192959652,32.243448484808404
bengali,39.099428958085994,46.25960752864648,26.730645852168273,35.407278403195455,37.790798595057375,37.34673592625858,48.68044535314084,41.77179653037766,47.42579413855807,47.72929996933464
chinese,33.19054668385284,44.80433009765796,27.383202279656455,29.496857293192175,41.14643385248186,34.09982164325592,42.02467920790119,31.400262786099464,36.40175054054222,42.48216228281766
english,19.852785475345094,37.75970769819065,28.424698316926005,23.555419185891015,32.90408845534766,35.587308566336276,45.11508090601026,27.70292345584861,27.116986533524518,43.157978167444405
german,13.822554395481514,44.45775151454341,20.65281070113956,31.8840668770279,28.18749782880041,34.76485311307157,37.68052891807088,34.289319905011304,28.927920540960677,32.17278180674933
greek,28.63634243808154,36.67229288080922,20.804763172987833,27.62154625453422,41.367511969219734,28.26269514225111,40.175580362961476,21.06391697361764,27.67405692583563,47.36689489203537
korean,24.95380188863189,29.556901008719066,24.775548858057668,23.553152330294992,34.65001118512144,29.63530794926402,43.17190431297571,21.18645290064558,27.002837044791626,41.144901946495175
portuguese,14.547821852888672,37.732269308664954,20.305384761059276,28.91098601015445,28.66033815677666,35.92717805158683,47.01781974390455,25.591027856793286,32.20696578506785,36.605757956270146
spanish,31.29792091917542,48.97233165710125,33.561642501624675,34.91457621274397,33.641005157443324,37.05125984450531,44.056280951723174,40.391463649667045,39.981743770366265,43.633858534964745
turkish,40.82035736999055,46.77674242251615,21.73618514570007,31.47749801576532,33.13162018197268,42.792682759272026,43.006511587767115,37.25550824698474,36.34159047826497,44.47055467802247
