Adapter Culture,arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish
arabic,39.23741761032017,57.63592743555459,23.75489338387989,42.622504503734476,61.71474753414444,36.75887219430922,59.315165539784196,57.55025695695198,48.05294930316451,56.249961490119205
bengali,41.754711947852535,59.47122531932764,23.8816849450874,43.74628169520247,56.20747765285612,40.77080503270829,57.01735024351633,56.839177573225655,47.21203188346835,55.382930004142835
chinese,50.139140962390414,54.990342300197405,24.639350784270054,37.96364846263671,56.54293877125844,45.79697572041417,50.70983786988571,57.15529766287793,45.57296380708741,56.73065111655179
english,44.34636338069025,57.54992238660773,24.46978525834299,40.96442655792913,60.65572966716204,39.452386688002925,56.944822931083564,58.9033389151304,50.00248114225866,57.0825913045532
german,39.776023233105,55.55560255402212,23.31159003966421,40.016579274140035,59.25481186722457,37.8277059021564,61.13640541555574,54.77166262548761,48.9059035314316,50.666467277406035
greek,43.60160500196501,56.655905359968685,24.09825322467991,40.44894938662656,60.553626391210535,38.14027907036917,58.941482832254785,55.494329339279055,44.44037922108473,56.97975508982396
korean,47.2760852827081,53.54633125355217,24.339267721615332,33.20350670469369,59.77025087512038,47.46479739228317,53.73912887575465,53.67232760305287,41.22588548688141,58.261361538068854
portuguese,41.40325452382267,48.83084704590555,24.48299208968594,32.82018087864637,58.12137888440171,47.48969831935551,54.34013833863182,40.738532140921464,31.831430662197363,54.715254191487816
spanish,34.24999007739344,54.35035522658727,23.12035864816942,42.20809300301515,57.907352484072824,38.19953142566319,60.781182316186246,50.28067213142862,46.40143529854192,49.1868956796858
turkish,41.171097188945375,54.940312141075296,23.788594690841958,39.23345584644339,59.65127870277824,47.428177456635446,54.282320716245245,57.04780152736873,43.75448018568209,57.40429343161112
