Adapter Culture,arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish
arabic,39.89211858874222,56.585974482266366,23.31159003966421,41.82226720204672,58.645875756047026,35.15770331780716,57.03812156473634,55.361554876362604,45.69800748444068,57.369351493820396
bengali,43.47577827336637,58.34704802276116,24.006568985734937,41.968550766838206,55.37522538819852,42.31115738506537,59.96421631364481,55.49020934334511,46.24605585988179,53.397944998741806
chinese,48.26518424228929,53.94424115645696,24.241862930057227,35.10058083829573,55.56647728245694,45.58994594973591,50.43800629876264,49.100570064073615,40.91349491468867,56.641503702723874
english,47.042606355395094,56.87518969443966,24.246853863231998,38.43123130332759,60.7070038151633,42.761958345659515,58.22118814863791,58.06747742634016,47.22086636531868,56.927667757254326
german,38.319462863176554,55.89905197154651,22.927974173777947,41.64019497759066,58.27620005316398,39.54798863272184,59.542845575987805,54.39027875349075,46.05458947341232,49.425438948126356
greek,46.893639841440816,58.902898510269786,24.679192578221393,39.963535095951855,60.92706267103715,47.010035003514396,54.96621831938785,60.40442797404071,48.10682148761754,56.18111849586289
korean,48.98709535942049,53.12030231850914,24.29173890077742,36.39515581676688,55.4446717630296,45.49769994648575,51.04423541854508,55.280835380507064,45.62654155832615,52.066668460859525
portuguese,44.08815426235738,55.12686225240172,23.516023257167973,38.887277526927775,59.367495379009306,45.91560417837041,55.50017296959974,54.94230215934844,46.111090268001824,56.16865938987991
spanish,47.03328863256286,54.82869163130742,23.118840480561285,37.73699029122785,61.990280270022545,47.82820358010112,54.40228302425588,56.67248824420166,47.00264564646295,57.71340184057211
turkish,47.50992196459688,54.677210468293836,23.76248050366019,35.34045591763096,61.462263479542976,47.47910014935899,54.27861880729814,57.051142030912416,43.733530177621525,57.54209246476479
