Adapter Culture,Test Culture,F1 Score
arabic,arabic,0.1554128233470519
arabic,bengali,0.3414424316140834
arabic,chinese,0.19940910604286444
arabic,english,0.3499871704583564
arabic,german,0.4673307849393285
arabic,greek,0.3776613340789001
arabic,korean,0.5680362672111019
arabic,portuguese,0.3927614444480646
arabic,spanish,0.26810739029026537
arabic,turkish,0.5009185824539613
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",arabic,0.21341031117306117
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",bengali,0.3802509177450466
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",chinese,0.21065531144066346
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",english,0.33581224110671043
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",german,0.5242188351155894
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",greek,0.3623736226397776
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",korean,0.6006739903997356
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",portuguese,0.3315309989430603
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",spanish,0.2816255760153761
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",turkish,0.4747052047351599
bengali,arabic,0.30754191282063503
bengali,bengali,0.439456341581088
bengali,chinese,0.24016465912556695
bengali,english,0.35504235219175956
bengali,german,0.5325831308829682
bengali,greek,0.43109019687712363
bengali,korean,0.6225141476183024
bengali,portuguese,0.40857761141456067
bengali,spanish,0.3818491848664841
bengali,turkish,0.6047246395165128
chinese,arabic,0.43143899015508475
chinese,bengali,0.4436123256721869
chinese,chinese,0.2410412261813339
chinese,english,0.321355459495386
chinese,german,0.5951979615055552
chinese,greek,0.41510165006360994
chinese,korean,0.5947370575106191
chinese,portuguese,0.41647410719736555
chinese,spanish,0.36117772819846333
chinese,turkish,0.6318324226085613
english,arabic,0.3394270591889224
english,bengali,0.3504585123494608
english,chinese,0.22441879100606038
english,english,0.3391657600831079
english,german,0.5247359049197765
english,greek,0.48100718140129145
english,korean,0.597325933870731
english,portuguese,0.30927734770874493
english,spanish,0.3087905177953636
english,turkish,0.5185654809613732
german,arabic,0.1548028540947969
german,bengali,0.3232494924560644
german,chinese,0.21065531144066346
german,english,0.33758977690490904
german,german,0.41013274798020366
german,greek,0.3652478075089896
german,korean,0.49660367959678703
german,portuguese,0.32108808662957056
german,spanish,0.2483306783681528
german,turkish,0.4494736694399516
greek,arabic,0.26263113570893976
greek,bengali,0.480323783398893
greek,chinese,0.21091152283580322
greek,english,0.409249760306203
greek,german,0.6067627691483798
greek,greek,0.49093221184416447
greek,korean,0.6777018640919206
greek,portuguese,0.47728387926503546
greek,spanish,0.3864670784079934
greek,turkish,0.6315211099245237
korean,arabic,0.35531529332522255
korean,bengali,0.41468534402667073
korean,chinese,0.23907553828405753
korean,english,0.30788800533622956
korean,german,0.6529531442170129
korean,greek,0.4979117372669232
korean,korean,0.6101478646249857
korean,portuguese,0.34673764583057
korean,spanish,0.3305285734861885
korean,turkish,0.6135261823024255
portuguese,arabic,0.1320865205285046
portuguese,bengali,0.24979396667800122
portuguese,chinese,0.20047169391559616
portuguese,english,0.3706403529161068
portuguese,german,0.3397920421335985
portuguese,greek,0.3602921879100691
portuguese,korean,0.36757228883777704
portuguese,portuguese,0.37663170436900933
portuguese,spanish,0.2694430273354583
portuguese,turkish,0.3305403324054041
spanish,arabic,0.17319529877843243
spanish,bengali,0.48063809154167153
spanish,chinese,0.20234722272415168
spanish,english,0.40063810096049673
spanish,german,0.5814944545568568
spanish,greek,0.4478474166382037
spanish,korean,0.6308930271039506
spanish,portuguese,0.501809050165055
spanish,spanish,0.3714516543011186
spanish,turkish,0.5949240214553172
turkish,arabic,0.12753705134586257
turkish,bengali,0.2874830545008043
turkish,chinese,0.19727336725217337
turkish,english,0.31794777852035677
turkish,german,0.47930412220104035
turkish,greek,0.47933157838047236
turkish,korean,0.551718731421943
turkish,portuguese,0.2510973681563712
turkish,spanish,0.2438211780059831
turkish,turkish,0.48805268970144056
