Adapter Culture,arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish
arabic,10.964244692608764,17.862638327688572,39.42955494347674,16.242209066332478,24.794342745652745,35.23835552503076,26.45387127367318,19.01885586989267,29.448154034605267,21.76819365324848
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",33.43506075489502,23.240689088833122,28.39000703995802,17.121150764912816,36.75275272726661,15.1057476946164,37.086833607990016,17.88088206530664,25.61931135622373,39.29453303549389
bengali,11.858945744433523,18.571932243955768,38.04526279566398,17.159502422789338,26.144290850299434,35.162182191823746,26.993117229039964,17.216140867936414,26.808298545535298,26.03944646993884
chinese,21.216806286731437,23.761822977437927,39.4036813782628,18.94551121181726,36.008429222477936,37.419256207285834,38.25079163132834,23.7850605152014,36.54937044105033,35.852033031450645
english,19.959831035054147,24.831595803859884,27.867666281814913,20.906498223972445,26.57390446293981,34.73339543376087,36.671236862573224,18.62578816671557,24.38535092846272,30.171431550019744
german,18.789316434512838,23.40503528156366,42.57481060019785,18.736805676257543,34.38665986949954,33.71322595010796,31.522387886714792,22.198486309409184,30.371019654685337,26.223784442463703
greek,22.177721945870278,20.913285624459448,42.400604645860916,21.05506361147695,26.71121924658243,34.632125954538544,32.682081979488494,21.78940564566317,28.69411286504392,28.553281625019384
korean,26.78418991294862,27.55755730497025,43.6335165944297,22.32740016266289,38.087857094238416,41.636065488192465,40.12808780667529,22.858339477804908,31.849688746766002,36.959825216090344
portuguese,13.790009236529558,19.77461612558884,39.757759897554116,18.449557444274667,26.121481847773087,32.59221778852811,33.14036374832928,19.348943364732975,24.745781466509627,24.6508372061203
spanish,13.478398567528451,21.78796842885854,37.162362778297286,23.574586598851788,27.78974117114939,38.88331620279532,29.402115980561828,19.449022476556994,23.69964467281039,27.94509687217273
turkish,13.1497450055721,21.635892491725247,32.51961473279047,21.769620314243976,26.395727581067447,36.742027799884696,31.301461854480024,17.206599304211238,22.785479677509233,27.585503892591838
