Adapter Culture,Test Culture,F1 Score
arabic,arabic,0.39298443113194165
arabic,bengali,0.5070351955487887
arabic,chinese,0.23448554612157063
arabic,english,0.3694838869652028
arabic,german,0.5634428828644472
arabic,greek,0.36771723367691117
arabic,korean,0.5758726921257012
arabic,portuguese,0.5002385466228976
arabic,spanish,0.3999921511849038
arabic,turkish,0.5323327392845224
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",arabic,0.37834371316949733
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",bengali,0.573586590319363
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",chinese,0.24419925109765145
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",english,0.38244085796170046
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",german,0.5823722826830149
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",greek,0.374007193126242
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",korean,0.575473565387063
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",portuguese,0.5102895418062886
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",spanish,0.43788834264655774
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",turkish,0.5598079653486913
bengali,arabic,0.43642436483460517
bengali,bengali,0.5923813048050294
bengali,chinese,0.24370376552296658
bengali,english,0.4165576948984218
bengali,german,0.5703646350541112
bengali,greek,0.4033768663092968
bengali,korean,0.6043638389707424
bengali,portuguese,0.5815783265834589
bengali,spanish,0.4729854851051257
bengali,turkish,0.5631797626109979
chinese,arabic,0.4882409170633242
chinese,bengali,0.5576612472033887
chinese,chinese,0.2578318867947368
chinese,english,0.36931430462958126
chinese,german,0.5434308940941321
chinese,greek,0.45389943245510045
chinese,korean,0.5167512781850098
chinese,portuguese,0.5554890039908227
chinese,spanish,0.43123550873154765
chinese,turkish,0.5511208053990445
english,arabic,0.483437389885882
english,bengali,0.53200041271597
english,chinese,0.2506900677728813
english,english,0.3596448164616564
english,german,0.5924631926399716
english,greek,0.4554551943141241
english,korean,0.530712531593196
english,portuguese,0.5729972622297709
english,spanish,0.463523274319582
english,turkish,0.5600993558467701
german,arabic,0.3517309377666371
german,bengali,0.5377751207890598
german,chinese,0.22831345315220675
german,english,0.40388588477499754
german,german,0.5785196307366886
german,greek,0.3880493830355921
german,korean,0.6068995847156069
german,portuguese,0.5281897217728166
german,spanish,0.4576304424373459
german,turkish,0.4439847259638285
greek,arabic,0.44279923282956957
greek,bengali,0.5651000712917363
greek,chinese,0.24220393234081383
greek,english,0.4036708310925931
greek,german,0.60953609513798
greek,greek,0.48024181450474046
greek,korean,0.5502397390733033
greek,portuguese,0.5667380514484119
greek,spanish,0.46611806268643785
greek,turkish,0.5624741793619956
korean,arabic,0.49573142336061987
korean,bengali,0.5358926534262611
korean,chinese,0.24420278444208493
korean,english,0.35944541825573467
korean,german,0.5915248509055172
korean,greek,0.44739109619455486
korean,korean,0.5379326884660812
korean,portuguese,0.5449818445165878
korean,spanish,0.44722504294903836
korean,turkish,0.5686519525879551
portuguese,arabic,0.4087582954755166
portuguese,bengali,0.5455135490799581
portuguese,chinese,0.24188989728141203
portuguese,english,0.3755667992104263
portuguese,german,0.5843271034539695
portuguese,greek,0.49068995891669875
portuguese,korean,0.5478883290107707
portuguese,portuguese,0.5176745166191814
portuguese,spanish,0.40677383489968116
portuguese,turkish,0.5601872111514982
spanish,arabic,0.3271752399475509
spanish,bengali,0.5687024172092282
spanish,chinese,0.23406777500503984
spanish,english,0.4532314423289547
spanish,german,0.5573307267559191
spanish,greek,0.38155611523418115
spanish,korean,0.6238520253464769
spanish,portuguese,0.5359795923783263
spanish,spanish,0.5131421095230264
spanish,turkish,0.5021878463748505
turkish,arabic,0.4122192727838018
turkish,bengali,0.5811646735417819
turkish,chinese,0.23501681672813413
turkish,english,0.4094509481478778
turkish,german,0.5932179576755848
turkish,greek,0.35817058833940685
turkish,korean,0.6555206029283241
turkish,portuguese,0.5427559175507517
turkish,spanish,0.4468902905296586
turkish,turkish,0.5747232728598933
