Country,AvgTokens
egypt,253.17
lebanon,303.38
sudan,397.04
spain,419.68
hong_kong,254.00
colombia,264.00
canada,311.09
iraq,423.03
united_kingdom,224.11
singapore,250.84
mexico,412.09
argentina,279.09
taiwan,280.97
south_korea,251.26
china,286.97
germany,283.74
bangladesh,232.09
portugal,209.73
ireland,229.20
austria,272.97
brazil,299.50
chile,230.57
australia,472.92
palestinian_territories,583.26
syria,351.67
new_zealand,543.90
peru,267.78
cyprus,353.00
greece,341.35
venezuela,355.79
saudi_arabia,598.95
türkiye,439.74
united_states_of_america,525.57
