Adapter,Test,F1
arabic,arabic,0.1957497128560138
arabic,bengali,0.3659572354967879
arabic,chinese,0.19834300431315355
arabic,english,0.31667825782869574
arabic,german,0.5315959677182123
arabic,greek,0.4114927233706813
arabic,korean,0.57722837656712
arabic,portuguese,0.29947010196144735
arabic,spanish,0.28335399046641885
arabic,turkish,0.44537856248596064
bengali,arabic,0.12464676843772654
bengali,bengali,0.2722197999878934
bengali,chinese,0.19906279426331663
bengali,english,0.30574649202839743
bengali,german,0.37850624742659933
bengali,greek,0.3604538989853025
bengali,korean,0.5068865582016349
bengali,portuguese,0.2559843977929863
bengali,spanish,0.2241891311994835
bengali,turkish,0.38122498512867364
chinese,arabic,0.25546610505951095
chinese,bengali,0.30850448046042983
chinese,chinese,0.19604113849495697
chinese,english,0.35275950544349405
chinese,german,0.36007418995850915
chinese,greek,0.4612323295240749
chinese,korean,0.4984324776544911
chinese,portuguese,0.34497536728544853
chinese,spanish,0.25465020623085555
chinese,turkish,0.46223330859348355
english,arabic,0.1483340872939466
english,bengali,0.39180893385561927
english,chinese,0.201530789244525
english,english,0.34760788459925135
english,german,0.3874412206195773
english,greek,0.359089952947074
english,korean,0.5173376352635951
english,portuguese,0.3667430140809807
english,spanish,0.3076569230535229
english,turkish,0.4308478040155741
german,arabic,0.22391473692119643
german,bengali,0.3731407336600054
german,chinese,0.20000050946162873
german,english,0.362128055187863
german,german,0.5678529355946873
german,greek,0.42995390085730173
german,korean,0.6132355990333653
german,portuguese,0.3562655847585088
german,spanish,0.2910552058072839
german,turkish,0.48866794495518345
greek,arabic,0.19532309991698404
greek,bengali,0.4355242609164738
greek,chinese,0.19940910604286444
greek,english,0.3945074180402764
greek,german,0.5130066111474417
greek,greek,0.48933845050328073
greek,korean,0.6522799611904238
greek,portuguese,0.420293773653562
greek,spanish,0.3308328689215098
greek,turkish,0.5178896477693415
korean,arabic,0.2845829462639385
korean,bengali,0.41805548755798344
korean,chinese,0.20024356811108623
korean,english,0.35136697736934974
korean,german,0.4501101236015964
korean,greek,0.43614257738930684
korean,korean,0.5304007338022715
korean,portuguese,0.43467198825581865
korean,spanish,0.335685423509598
korean,turkish,0.5133733428617111
portuguese,arabic,0.14748766691927465
portuguese,bengali,0.31831615976048405
portuguese,chinese,0.19727336725217337
portuguese,english,0.3048112921936884
portuguese,german,0.35708296771873255
portuguese,greek,0.36421695399041265
portuguese,korean,0.5132673935917823
portuguese,portuguese,0.24920605491238756
portuguese,spanish,0.23808404810515726
portuguese,turkish,0.42140602227323115
spanish,arabic,0.16823733929479803
spanish,bengali,0.3600643062606515
spanish,chinese,0.20420132538886593
spanish,english,0.3462829751426589
spanish,german,0.5991003968460575
spanish,greek,0.3666570139292267
spanish,korean,0.6139849766433301
spanish,portuguese,0.2962638004501589
spanish,spanish,0.28524988044299165
spanish,turkish,0.4738041689241996
turkish,arabic,0.20746720850098724
turkish,bengali,0.4604790027999073
turkish,chinese,0.20034139455882644
turkish,english,0.4019692357959408
turkish,german,0.529994706271459
turkish,greek,0.4844046781536634
turkish,korean,0.6578492286447802
turkish,portuguese,0.4098383450592308
turkish,spanish,0.33072688680491025
turkish,turkish,0.533816144165474
