Adapter,arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish
arabic,19.574971285601382,36.59572354967879,19.834300431315356,31.667825782869574,53.15959677182123,41.14927233706813,57.722837656712,29.947010196144735,28.335399046641886,44.537856248596064
bengali,12.464676843772654,27.22197999878934,19.906279426331665,30.574649202839744,37.85062474265993,36.04538989853025,50.68865582016349,25.59843977929863,22.41891311994835,38.12249851286737
chinese,25.546610505951094,30.850448046042985,19.604113849495697,35.275950544349406,36.00741899585091,46.12323295240749,49.843247765449114,34.49753672854485,25.465020623085554,46.22333085934835
english,14.833408729394659,39.18089338556193,20.1530789244525,34.76078845992514,38.74412206195773,35.9089952947074,51.73376352635951,36.67430140809807,30.76569230535229,43.08478040155741
german,22.391473692119643,37.314073366000535,20.000050946162872,36.212805518786304,56.78529355946873,42.99539008573017,61.32355990333653,35.62655847585088,29.10552058072839,48.86679449551835
greek,19.532309991698405,43.552426091647376,19.940910604286444,39.450741804027636,51.30066111474417,48.933845050328074,65.22799611904237,42.029377365356204,33.08328689215098,51.78896477693415
korean,28.458294626393847,41.80554875579834,20.024356811108625,35.13669773693498,45.01101236015964,43.61425773893068,53.04007338022715,43.46719882558187,33.5685423509598,51.337334286171114
portuguese,14.748766691927464,31.831615976048404,19.727336725217338,30.481129219368842,35.70829677187326,36.42169539904126,51.326739359178234,24.920605491238756,23.808404810515725,42.140602227323114
spanish,16.823733929479804,36.00643062606515,20.42013253888659,34.62829751426589,59.910039684605756,36.66570139292267,61.39849766433301,29.62638004501589,28.524988044299164,47.38041689241996
turkish,20.746720850098725,46.04790027999073,20.034139455882645,40.19692357959408,52.9994706271459,48.44046781536634,65.78492286447802,40.98383450592308,33.07268868049103,53.38161441654739
