Adapter,Test,F1
arabic,arabic,0.3558535417944045
arabic,bengali,0.368573966286345
arabic,chinese,0.22358671130151453
arabic,english,0.37674877799739237
arabic,german,0.4724468813946804
arabic,greek,0.42263472487378323
arabic,korean,0.4685106113573034
arabic,portuguese,0.40515789237007527
arabic,spanish,0.3491435714324784
arabic,turkish,0.4187571473200456
bengali,arabic,0.3588835321163825
bengali,bengali,0.3285727583679989
bengali,chinese,0.27065114573532284
bengali,english,0.38759017046846417
bengali,german,0.3794390138060385
bengali,greek,0.21894196922582082
bengali,korean,0.3764785077256243
bengali,portuguese,0.3516688616159128
bengali,spanish,0.3057246329108932
bengali,turkish,0.4011530994523542
chinese,arabic,0.29775640057988784
chinese,bengali,0.32543056928672676
chinese,chinese,0.29858597109971835
chinese,english,0.39760483577039785
chinese,german,0.525700850939958
chinese,greek,0.3474971030767293
chinese,korean,0.45036655148221555
chinese,portuguese,0.38169150241117766
chinese,spanish,0.3938539785322765
chinese,turkish,0.4873816302012682
english,arabic,0.3587848078120976
english,bengali,0.31849208073059726
english,chinese,0.20627100792861253
english,english,0.3262726683855885
english,german,0.3589042550734624
english,greek,0.21387277898858556
english,korean,0.3850734965480525
english,portuguese,0.3105588475050205
english,spanish,0.2675899270865838
english,turkish,0.38479634414843
german,arabic,0.36720832595743264
german,bengali,0.4101040918953838
german,chinese,0.2724749278039326
german,english,0.45469340712725587
german,german,0.4153630939383482
german,greek,0.31382413418903526
german,korean,0.4416148768844339
german,portuguese,0.40552596195962504
german,spanish,0.4061913607190366
german,turkish,0.43131255338594326
greek,arabic,0.37437592474200326
greek,bengali,0.40302236995375557
greek,chinese,0.2264374322941743
greek,english,0.4175023140089922
greek,german,0.46585048116869326
greek,greek,0.21741806386922097
greek,korean,0.3955784946276632
greek,portuguese,0.3725133126857491
greek,spanish,0.3604730449973257
greek,turkish,0.40113440371672027
korean,arabic,0.3592506557758712
korean,bengali,0.315336258293394
korean,chinese,0.21209479132075454
korean,english,0.36643989394062254
korean,german,0.3719395823460485
korean,greek,0.23334438236990113
korean,korean,0.38745939312738953
korean,portuguese,0.32325551361989846
korean,spanish,0.3457442645797231
korean,turkish,0.40377194453574183
portuguese,arabic,0.1371272509304803
portuguese,bengali,0.3655402774970688
portuguese,chinese,0.1906953492207471
portuguese,english,0.3551118089773441
portuguese,german,0.32712685054773927
portuguese,greek,0.382053169458395
portuguese,korean,0.3214847734608124
portuguese,portuguese,0.360327913120459
portuguese,spanish,0.2925292257631809
portuguese,turkish,0.31422349374257375
spanish,arabic,0.38298221567151014
spanish,bengali,0.36176038311316133
spanish,chinese,0.26523228417475103
spanish,english,0.40338873269200964
spanish,german,0.38770915211561363
spanish,greek,0.22878867893384372
spanish,korean,0.3926872170755175
spanish,portuguese,0.4612140827578767
spanish,spanish,0.379366021872896
spanish,turkish,0.4043806384926873
turkish,arabic,0.31711469805206316
turkish,bengali,0.4299855986434407
turkish,chinese,0.2967968920821967
turkish,english,0.3943466742815464
turkish,german,0.37532756187589617
turkish,greek,0.39033141510915886
turkish,korean,0.3969244968601373
turkish,portuguese,0.47940397391028056
turkish,spanish,0.47485210938071293
turkish,turkish,0.4695190872471341
