Adapter,arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish
arabic,35.58535417944045,36.8573966286345,22.358671130151453,37.674877799739235,47.24468813946804,42.26347248737832,46.85106113573034,40.515789237007525,34.914357143247834,41.87571473200456
bengali,35.888353211638254,32.857275836799886,27.065114573532284,38.75901704684642,37.94390138060385,21.894196922582083,37.64785077256243,35.16688616159128,30.57246329108932,40.115309945235424
chinese,29.775640057988785,32.54305692867268,29.858597109971836,39.760483577039786,52.5700850939958,34.749710307672935,45.036655148221556,38.16915024111777,39.38539785322765,48.73816302012682
english,35.87848078120976,31.849208073059724,20.627100792861253,32.627266838558846,35.890425507346244,21.387277898858557,38.50734965480525,31.05588475050205,26.75899270865838,38.479634414843
german,36.72083259574326,41.010409189538386,27.247492780393262,45.46934071272559,41.53630939383482,31.382413418903525,44.16148768844339,40.5525961959625,40.61913607190366,43.13125533859433
greek,37.43759247420033,40.30223699537556,22.643743229417428,41.75023140089922,46.585048116869324,21.741806386922097,39.55784946276632,37.25133126857491,36.04730449973257,40.11344037167203
korean,35.92506557758712,31.5336258293394,21.209479132075455,36.64398939406225,37.19395823460485,23.334438236990113,38.745939312738955,32.325551361989845,34.574426457972315,40.377194453574184
portuguese,13.71272509304803,36.55402774970688,19.06953492207471,35.51118089773441,32.71268505477393,38.2053169458395,32.148477346081236,36.032791312045894,29.252922576318092,31.422349374257376
spanish,38.29822156715102,36.176038311316134,26.523228417475103,40.33887326920097,38.770915211561366,22.87886789338437,39.26872170755175,46.121408275787665,37.936602187289594,40.43806384926873
turkish,31.711469805206317,42.998559864344074,29.679689208219667,39.43466742815464,37.53275618758962,39.03314151091589,39.69244968601373,47.94039739102806,47.48521093807129,46.95190872471341
