Adapter,arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish
arabic,0.9291646641358032,0.8571774669876316,0.7488185411994577,0.8285776131606654,0.898699099592365,1.0,1.0,0.8451283560822124,0.7352680224750825,0.8591976417886666
bengali,0.9370762333888698,0.764148286371942,0.9064429408337267,0.8524209157050491,0.7217774388753566,0.5180406538795558,0.8035645268203071,0.7335543315327772,0.6438312621367727,0.8230780041642005
chinese,0.7774679564632269,0.7568406251591354,1.0,0.874446010296163,1.0,0.8222161659350324,0.9612728944974727,0.7961792625494808,0.8294245108143847,1.0
english,0.9368184556116124,0.7407040648231155,0.6908261870740219,0.7175663057156971,0.6827157582715309,0.5060463951523555,0.821909871864954,0.647801988314642,0.5635226669532248,0.7895175367802131
german,0.9588129968739669,0.9537623892270324,0.9125510043234233,1.0,0.7901130332881812,0.7425422373487094,0.9425931156714872,0.8458961210770404,0.855406036310502,0.8849585759065832
greek,0.9775282230418536,0.9372927168380725,0.7583659455271302,0.918206218662293,0.8861512784994513,0.5144349270736125,0.844331985313307,0.7770342612042347,0.7591269742224441,0.8230396446231848
korean,0.9380348253142023,0.7333646970694988,0.7103307316803626,0.8059054479276105,0.7075118514284636,0.5521183391629444,0.8270023852926114,0.6742862621334779,0.7281093581549672,0.8284512987676638
portuguese,0.3580512235797823,0.8501221404863556,0.6386614498946463,0.7809917703028368,0.6222680636008738,0.9039795998127991,0.6861846149641129,0.7516164502797666,0.6160428057162646,0.6447175565743268
spanish,1.0,0.841331394015235,0.8882945276962518,0.8871664430777914,0.7375090822516002,0.541339046388509,0.838160774924348,0.9620572791584575,0.7989140500347637,0.8297002050029975
turkish,0.8280141611694507,1.0,0.9940081611639946,0.8672803873999868,0.7139565424039299,0.9235668347548311,0.8472049239401925,1.0,1.0,0.9633499872640715
