Adapter,Test,F1
arabic,arabic,0.21182256933040777
arabic,bengali,0.34065243887578567
arabic,chinese,0.3098042773015518
arabic,english,0.3011680075974245
arabic,german,0.23992522180292233
arabic,greek,0.36157555299013133
arabic,korean,0.31678673608249336
arabic,portuguese,0.3205670684875438
arabic,spanish,0.34427008332123205
arabic,turkish,0.24182304954964431
bengali,arabic,0.16728061485383938
bengali,bengali,0.4262628577054555
bengali,chinese,0.21826393317978127
bengali,english,0.32946203573398297
bengali,german,0.31758079141492185
bengali,greek,0.284687507802424
bengali,korean,0.4331527322377613
bengali,portuguese,0.4373839208322218
bengali,spanish,0.4305084470573615
bengali,turkish,0.38208053756936045
chinese,arabic,0.2124446209112647
chinese,bengali,0.341266775331029
chinese,chinese,0.19434503233153033
chinese,english,0.3154136422443488
chinese,german,0.3023835317881215
chinese,greek,0.3246348756359094
chinese,korean,0.32467876364921877
chinese,portuguese,0.36244642338222405
chinese,spanish,0.3262534066711168
chinese,turkish,0.3503888270280694
english,arabic,0.11821656138284549
english,bengali,0.4188151160789957
english,chinese,0.3085199643886937
english,english,0.3461614183898279
english,german,0.3072116520870206
english,greek,0.38556309155128315
english,korean,0.3098381493274444
english,portuguese,0.4347907333811988
english,spanish,0.3953994331071508
english,turkish,0.30856081003262625
german,arabic,0.1487534422911371
german,bengali,0.33470622319920745
german,chinese,0.2139447220887844
german,english,0.28557496604769034
german,german,0.26411473233737637
german,greek,0.35991207347028176
german,korean,0.31361384973499845
german,portuguese,0.33995905522536957
german,spanish,0.32460875125278493
german,turkish,0.2690749228185244
greek,arabic,0.20652910248617876
greek,bengali,0.4244507638757085
greek,chinese,0.3071827073645876
greek,english,0.34171062603618246
greek,german,0.31740802247007655
greek,greek,0.38109165175918314
greek,korean,0.3464046748475409
greek,portuguese,0.4182763949801311
greek,spanish,0.35761020038299196
greek,turkish,0.256056636076543
korean,arabic,0.3471550795882064
korean,bengali,0.3947679067888219
korean,chinese,0.34722680976366016
korean,english,0.31560563504069955
korean,german,0.3766188897216618
korean,greek,0.3633931791640663
korean,korean,0.41239630520289633
korean,portuguese,0.4183620027385567
korean,spanish,0.4266224581654885
korean,turkish,0.40847172070361004
portuguese,arabic,0.13242412313880036
portuguese,bengali,0.22166896093679148
portuguese,chinese,0.24481470225543972
portuguese,english,0.2784496319223775
portuguese,german,0.26118082580594426
portuguese,greek,0.35856655221894584
portuguese,korean,0.3557322917515351
portuguese,portuguese,0.18351390168018714
portuguese,spanish,0.26723155610550436
portuguese,turkish,0.2329826915770775
spanish,arabic,0.2553497395152175
spanish,bengali,0.38531665916700186
spanish,chinese,0.27261550438516463
spanish,english,0.3283672641623528
spanish,german,0.323858650889261
spanish,greek,0.32407493022358175
spanish,korean,0.396892297044995
spanish,portuguese,0.34196349454560293
spanish,spanish,0.2739815056479133
spanish,turkish,0.3915769847908236
turkish,arabic,0.33572759004538466
turkish,bengali,0.4430071035148522
turkish,chinese,0.261514167835186
turkish,english,0.3877639385228921
turkish,german,0.4754842483323376
turkish,greek,0.3083739227195796
turkish,korean,0.3999158777888266
turkish,portuguese,0.47423563489787224
turkish,spanish,0.4822292394350022
turkish,turkish,0.4371396364362098
