Adapter,arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish
arabic,21.182256933040776,34.06524388757857,30.98042773015518,30.11680075974245,23.992522180292234,36.15755529901313,31.678673608249337,32.05670684875438,34.42700833212321,24.182304954964433
bengali,16.72806148538394,42.62628577054555,21.826393317978127,32.9462035733983,31.758079141492185,28.468750780242402,43.31527322377613,43.73839208322218,43.050844705736154,38.208053756936046
chinese,21.244462091126472,34.1266775331029,19.434503233153034,31.541364224434883,30.23835317881215,32.463487563590945,32.46787636492188,36.244642338222405,32.62534066711168,35.03888270280694
english,11.821656138284549,41.88151160789957,30.85199643886937,34.61614183898279,30.72116520870206,38.55630915512832,30.98381493274444,43.479073338119875,39.53994331071508,30.856081003262624
german,14.87534422911371,33.47062231992074,21.39447220887844,28.557496604769035,26.411473233737638,35.99120734702817,31.361384973499845,33.99590552253696,32.46087512527849,26.90749228185244
greek,20.652910248617875,42.44507638757085,30.71827073645876,34.171062603618246,31.740802247007654,38.109165175918314,34.64046748475409,41.827639498013106,35.76102003829919,25.6056636076543
korean,34.71550795882064,39.47679067888219,34.722680976366014,31.560563504069954,37.66188897216618,36.339317916406635,41.23963052028963,41.836200273855674,42.66224581654885,40.847172070361005
portuguese,13.242412313880036,22.16689609367915,24.481470225543973,27.84496319223775,26.118082580594425,35.856655221894584,35.57322917515351,18.351390168018714,26.723155610550435,23.29826915770775
spanish,25.53497395152175,38.531665916700184,27.261550438516462,32.83672641623528,32.3858650889261,32.407493022358175,39.6892297044995,34.19634945456029,27.39815056479133,39.157698479082356
turkish,33.57275900453847,44.300710351485215,26.1514167835186,38.77639385228921,47.54842483323376,30.83739227195796,39.99158777888266,47.42356348978723,48.22292394350022,43.71396364362098
