Adapter,arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish
arabic,0.6101669881416416,0.7689548004377881,0.8922245304514937,0.7766787410522566,0.504591314316742,0.9377856981469884,0.7313511205294819,0.6759657961101524,0.7139137471725933,0.5531940583588162
bengali,0.4818613486867795,0.9622032114687405,0.6285918225275939,0.8496458876217362,0.6679102252677573,0.7383681530745225,1.0,0.922292397800122,0.8927464613339525,0.8740468850737951
chinese,0.6119588431869281,0.7703415422086742,0.5597062982083995,0.8134166458228503,0.6359485784201454,0.8419760157274552,0.7495710854041197,0.7642749652507191,0.6765525189915226,0.8015489738807987
english,0.34052954524840423,0.9453914231986003,0.8885257581310837,0.8927117351563414,0.6461026903930084,1.0,0.7153092345204729,0.9168242565214061,0.8199408098323021,0.7058632627051961
german,0.42849277178253503,0.7555324069154258,0.6161526589332369,0.736466023982349,0.5554647357167015,0.933471282280167,0.7240260222180778,0.716856832782253,0.6731419928685964,0.615535404229558
greek,0.5949188550867887,0.958112771800009,0.8846745087848241,0.8812336375008456,0.6675468716015711,0.9884028324025789,0.799728707834622,0.8820011913912961,0.7415771818440156,0.5857547903092252
korean,1.0,0.8911096541267696,1.0,0.81391177385637,0.7920743768959213,0.9424999102014202,0.9520805815361413,0.8821817087377922,0.8846880762878155,0.9344193174375228
portuguese,0.3814552369387226,0.5003733781649392,0.7050570271980807,0.7180905810454545,0.5492943808800856,0.9299815259190944,0.8212629524780892,0.3869677606991876,0.5541587573963844,0.5329708682481274
spanish,0.7355494835855839,0.8697753514782722,0.7851222795000199,0.8468225936976015,0.6811133113770395,0.8405237361275723,0.9162871834942908,0.7210835065552287,0.5681561449258453,0.8957709440012425
turkish,0.9670824648270251,1.0,0.7531508526463886,1.0,1.0,0.7998014578596231,0.9232675867534625,1.0,1.0,1.0
