Adapter,arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish
arabic,45.09260949988864,53.79817489830238,23.82142675736797,41.12142374456142,58.19503179473882,35.83450210378682,57.04201125247296,52.010628516330826,43.31359075074822,55.08795731268429
bengali,43.611704018399216,49.52525848679574,24.372701708847067,37.675693069044264,66.56570825108396,36.27142839577733,53.2883321097675,49.05300025582897,38.047672290076136,58.03841715391581
chinese,36.4065297179019,54.953884841617516,22.70623521833542,42.7383495602152,59.026701937471785,36.20614739005001,57.7767216490519,53.78959964142751,44.973909553112854,55.13104252137266
english,47.8004189668365,53.410981053343335,25.727031560708408,38.08356436596655,63.16444976987721,39.28980414837865,49.6111795979272,55.69152885312146,45.3500699182168,56.548532952992744
german,40.78897530680708,48.846843005883684,23.31159003966421,38.041971937040294,60.83345950196841,35.272701558452866,49.65549372114353,50.44000287157752,42.855543190553945,54.65167625761724
greek,45.360996137984316,52.52331866920543,23.537233796962358,39.74742428152147,60.79618259314612,35.04450808009217,55.78322254853296,55.840630517820244,46.81614082322217,58.51534649062112
korean,45.59530020315366,54.08775380764994,24.65326343469355,36.08817253459025,62.3712177150921,34.95049432095561,50.96919269857928,56.237279043537455,43.46870498056257,53.54617453969885
portuguese,44.478892682592836,51.56862730262264,23.158217903369376,37.37344066143104,62.253863952133784,35.9090449381219,55.60249404605302,48.79980543684444,39.35201886947311,58.38818035092537
spanish,46.921273005595246,53.698646754122024,24.248834278070547,38.15684772313346,63.68411184627016,38.03959183398021,54.79936622318273,54.13448683483077,42.17601195443232,57.785071588411
turkish,35.78862691806486,44.46843817129768,22.89948053223703,38.106745584807136,59.42529746882117,35.994885243325406,54.37739267352546,41.91680210169075,36.3564845482025,48.84236256243836
