Adapter,arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish
arabic,0.9433517629034482,0.9789694587262392,0.9259298610162716,0.9621668634308012,0.8742494194642805,0.912056012507906,0.9872836260762297,0.9248425493001811,0.9251849893886045,0.9414275163099961
bengali,0.9123707482283078,0.9012148755184896,0.9473577101708951,0.8815430042744626,1.0,0.9231766149507294,0.9223149148795975,0.8722505976481081,0.8127041576054765,0.9918494999122708
chinese,0.7616362053889196,1.0,0.8825827870873957,1.0,0.8867433921806216,0.9215150895972107,1.0,0.9564758565183245,0.9606496554881448,0.9421638224462895
english,1.0,0.9719236630363626,1.0,0.8910864541530693,0.9489037438259156,1.0,0.8586707272744906,0.9902955797346901,0.9686844989948818,0.9663880732904211
german,0.8533183639061009,0.8888696976867982,0.9061127003578143,0.890113266621163,0.9138858595555888,0.8977571235846551,0.8594377165039159,0.89691399956474,0.9154010227450518,0.9339716764110223
greek,0.9489664969140827,0.9557708034760924,0.9148833879812851,0.9300177636836505,0.9133258578700109,0.8919491669580728,0.9654965002578741,0.9929468755874526,1.0,1.0
korean,0.9538682126361124,0.984238948047734,0.9582630384900382,0.8443978980457507,0.936987216898972,0.889556338559603,0.8821752298127435,1.0,0.9284982532990166,0.9150791672793268
portuguese,0.9305126114784034,0.9383982124511939,0.9001511833466924,0.8744708451779263,0.935224240645258,0.9139532689577874,0.9623684497676139,0.8677483382342321,0.8405652020329144,0.9978267899393515
spanish,0.9816079862845721,0.9771583375567858,0.942543029919727,0.8928011520279524,0.9567104973337849,0.9681797264838229,0.9484679064354973,0.9626085713165682,0.9008861305695618,0.9875199422714318
turkish,0.7487094818749326,0.8091955336635449,0.8900941594525131,0.8916288527032971,0.8927313932373503,0.9161380674586739,0.9411643845738655,0.7453561554647734,0.7765801261894835,0.8346932128354884
